site_numeric,site,slope_grades,upstream_area_grades,order_grades,distance_snapped_m
864,Tana river-masinga bridge,0.013683369,60531464,4,4.37250528
865,Tana river just below Masinga dam,0.013683369,60531464,4,3.726507769
866,N_IV,0.004804647,7699240.5,3,33.9723532
867,CT,0.012780591,530599.7,1,1671.541401
868,"Tana river, Nanighi",3.77E-04,320888032,5,1.857797931
869,Ngoko,6.70E-04,524071.6,1,204.8376736
871,SIM,0.012780591,530599.7,1,2.377664121
872,IS_III,0.01333508,641292.6,1,45.16673114
873,KAK,0.01333508,641292.6,1,409.6361889
874,KIP_M,0.005318247,251597.6,1,23.59570239
876,IS_II,0.01333508,641292.6,1,3.405104987
877,Borges2015_1431,0,288394752,5,47.48522033
878,KAP,0.01333508,641292.6,1,41.10719885
879,A_I,0.0122159,4818138,3,28.41615387
880,N_III,0.004633828,5984356,3,29.47612139
881,BUR,0.0122159,4818138,3,294.1333351
882,KOR,0.0122159,4818138,3,331.2296127
883,KIS,0.0122159,4818138,3,192.5666627
884,SYA,0.01333508,641292.6,1,35.81865773
885,BOM,0.004633828,5984356,3,600.7771528
886,Sagana River-Makutano,6.92E-04,33410140,4,18.29108892
887,Borges2015_1426,6.92E-04,33410140,4,35.95884628
888,Borges2015_1510,6.92E-04,33410140,4,48.53854152
889,MUM,0.01333508,641292.6,1,93.64289855
891,IS_I,0.01333508,641292.6,1,19.749204
893,SON,0.005481172,764414,1,103.4718443
894,KEC_2,0.005481172,764414,1,35.74010926
895,MSH,0.005481172,764414,1,48.60167038
896,NYA,0.01333508,641292.6,1,162.0093119
897,KAS_W,0.004633828,5984356,3,290.3948712
898,BON_II,0.005481172,764414,1,161.8535373
899,KEC_I,0.005481172,764414,1,18.73125624
900,KIT,0.005481172,764414,1,697.7116677
901,TNK_II,0.004633828,5984356,3,431.0254811
902,SAR,0.005481172,764414,1,151.2171452
903,KEC_O,0.005481172,764414,1,22.64941383
904,TNK_I,0.004633828,5984356,3,173.3346087
905,BON_I,0.005481172,764414,1,1643.328256
906,ML_l,0.006438843,1410893.2,2,586.0762711
907,ML_II,0.006438843,1410893.2,2,72.44404892
908,NG_I,0.006894591,2198405,2,126.0523542
909,NG_O,0.006438843,1410893.2,2,49.63031026
910,Chep_III,0.007835681,3246161.5,2,395.4544594
911,Chep_I,0.007835681,3246161.5,2,860.0517809
912,Chep_II,0.007835681,3246161.5,2,503.1182885
913,Mathioya river-Muran'ga,0.007485023,4641679.5,3,7.50916964
914,Chep_IV,0.007835681,3246161.5,2,189.7926428
915,N_II,0.007835681,3246161.5,2,10.69675958
917,KN_II,0.007835681,3246161.5,2,164.7618041
918,KN_I,0.007835681,3246161.5,2,105.653258
919,Tana River-Jara,4.70E-04,285671104,5,26.29458817
920,N_l,0.007835681,3246161.5,2,11.69622633
921,Borges2015_947,0,1734621184,6,58.73612265
923,MOS,0.007835681,3246161.5,2,142.6552283
924,Thiba River-Mwea,0.004957754,3833074.2,2,13.39557638
927,Mvouma,1.97E-04,12856136,3,185.3158243
929,Congo River basin,0,19767799808,8,1932.472963
931,Congo River basin,0,19767799808,8,1848.507304
933,Congo River basin,1.76E-05,59591624,4,14.05616907
934,Congo River basin,1.76E-05,59591624,4,60.3234627
936,Borges2015_946,1.16E-04,275573120,5,83.95279025
938,Ole1,0.011238455,878300.5,1,2140.227249
940,Ole2,0.011238455,878300.5,1,1960.613836
941,Tuc,0.011238455,878300.5,1,2.718385622
943,Lilo,0.011238455,878300.5,1,2180.361974
944,Thiba river-Kerogoya kutus,0.008538964,2717703.8,2,24.44200897
945,Nyamidi River-Kerogoya,0.012266517,2403463,2,44.60778848
946,Rupingazi River-Embu Town,0.019821152,1965541.4,2,35.0373252
950,Karuru river-Aberdares,0.062258855,666660.4,1,712.4704569
952,"Karuru, upstream of falls",0.062258855,666660.4,1,86.3992683
954,Tana river between Masinga and Katse,0.001259171,111131488,4,67.96238954
956,Kiringa river,0.037254953,604508.1,1,33.09065309
957,Congo River basin,0,5509818880,7,316.1868671
958,Gura River-Othaya,0.021968228,1455341.9,2,18.62810062
962,Congo River basin,0,5509818880,7,218.7099167
964,Magura river-Aberdares,0.092258692,305763.3,1,1372.510081
965,Kouyou,1.26E-04,91201360,4,55.62493457
967,Tana river-Irira bridge-Ishiara,2.48E-04,111948064,4,14.84681181
970,Gikururu river-Aberdares,0.028577368,367208.2,1,15.64478442
971,Borges2015_1577,3.25E-04,276758176,5,27.46975806
972,Garissa,3.25E-04,276758176,5,1.14993225
