site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
Nebula Lake	1191	104	24.33332	102.77975	lake	12	34.71	8.6	15514		34.08	430.83	12.6
Liyutan Lake	1000	388	24.341496	120.786591	lake	11	4.32						
Liyutan	1032	388	24.349816	120.820001	reservoir	11	4.49	48.5					
Fuxian Lake	1008; 1122; 1191; 1200; 1201	39	24.409	102.845	lake	12	212	87	1485	Fuxian	215.37	14055.46	65.3
Rihand	176	103	24.416317	82.977996	reservoir	11			15511		14.21	242.76	17.1
Taiping	1191	164	24.435	103.541	lake	11	0.077	16.43	177267		7.6	57.98	7.6
Chia-Lo Lake	1000	390	24.474028	121.478766	lake	15	0.0037						
Weidan Lake	1000	391	24.4763	121.478728	lake	15	0.00075						
Retreat Lake	1000	392	24.477057	121.477044	lake	15	0.003						
Haomai Lake	1000	393	24.4784	121.4794	lake	15	0.0003						
Cueifong Lake; Cuifeng Lake	1000; 1143; 1209	394	24.515	121.607	lake	15	0.25	4.2					
Loktak Lake	301	102	24.552471	93.7928	lake	11	287		15510		58.3	86.29	1.5
Yuan Yang Lake (YYL); Yuanyang Lake	1143; 125	395	24.576747	121.40236	lake	15	0.036	1.5					
Yuanyang Lake	1166; 1209	396	24.576788	121.402238	lake	15	0.036	1.5					
Baishuitang	1191	163	24.594	103.819	lake	12	1.94	13.5	177240		2.88	20.69	7.2
Wulanghaizi	1191	162	24.643	103.921	lake	12	0.927	3.15	177223		1.19	3.7	3.1
Stone Forest Long Lake	1191	217	24.716541	103.420224	lake	12	0.8		1385968		0.55	2.42	4.4
2nd Baoshan-1; 2nd Baoshan-2; 2nd Baoshan-3	1032	397	24.72071	121.04543	reservoir	14	1.93	18.3					
Baoshan Lake	1000	398	24.748185	121.043408	lake	14	1.93	151.7					
Green grass Lake	1000	399	24.774725	120.970534	lake	14	0.163						
Li Lake	1000	400	24.801827	120.978363	lake	14	0.01						
Jincheng Lake	1000	401	24.8106	120.9105	lake	14	0.09						
Shihmen Lake	1000	161	24.8106	121.2442	lake	14	8		177169		5.55	309.1	55.7
Hou Lake	1000	216	24.8205	121.2499	lake	14			1385730		0.57	4.21	7.4
Moon Lake	1191	402	24.821977	103.32389	lake	12	3	18					
Ci Lake	1000	403	24.8404	121.2987	lake	14							
Rana Pratan Sagar	176	37	24.84616	75.606926	reservoir	6			1481	Rana Pratap	171.42	2898.7	16.9
Longtan Lake	1000	404	24.862794	121.209636	lake	14	0.18						
Angtian Lake	1000	405	24.872547	121.200025	lake	14	0.004						
Fei-Tsui reservoir	115	160	24.90943	121.58057	reservoir	14	1024		177138		7.61	226.01	29.7
Feicui	1062	160	24.910393	121.582553	reservoir	14		39.4	177138		7.61	226.01	29.7
Yangzonghai	1177	101	24.914	103.009	lake	12	31.9	19.5	15494		30.55	1198.46	39.2
Dahanxi Lake	1000	159	24.928	121.331	lake	14			177133		1.22	8.66	7.1
Dian Lake; Dian Lake-1; Dian Lake-2; Dian Lake-3; Dian Lake-4; Dian Lake-5	1010; 1053	38	24.948	102.667	lake	12	330	5	1483	Dian Chi	298.34	5862.52	19.7
Haigeng	1085	38	24.967473	102.644446	reservoir	12			1483	Dian Chi	298.34	5862.52	19.7
Longtan	1109; 1111	406	25.041682	106.956024	reservoir	11	85	92.7					
Si'anjiang	1064	407	25.237547	110.613197	reservoir	14	1.72	41					
Hunshuihai	1191	158	25.547	100.611	lake	12	1.003	6.67	177008		1.56	11.14	7.1
Wulixia	1064; 1115	215	25.588	110.776	reservoir	14	3.55	20.3	1384449		0.82	7.72	9.4
Huashan	1191	157	25.77376	103.92651	lake	12	5.792	16.4	176974		5.75	63.89	11.1
Doushui	1091	100	25.834	114.401	reservoir	14	31	28.5	15472		19.42	822.2	42.3
Wenwusha Reservoir	286	408	25.8752	119.5857	reservoir	14	5.2						
Pianqiao	1191	156	25.978	103.929	lake	12	4.734	8.05	176937		4.65	27.74	6
Guangzhao	1107	409	26.037	105.223	reservoir	11	51.54						
S1	273	99	26.304153	118.807691	reservoir	14			15462		56.2	2600	46.3
S4	273	99	26.341903	118.747548	reservoir	14			15462		56.2	2600	46.3
S7	273	99	26.354689	118.686671	reservoir	14			15462		56.2	2600	46.3
Wan'an	1021; 1097	98	26.389	114.867	reservoir	14	163.3	15	15457		67.54	2370	35.1
Hongfeng	1015; 1041; 1061; 1081; 1103; 1154	97	26.474409	106.390074	reservoir	11	57.2	9.27	15456		43.39	660	15.2
Hekoujie	1085	96	26.477	100.654	reservoir	11			15455	Ch'eng	74.75	3117.06	41.7
Hongfeng reservoir	153	97	26.4825	106.4129	reservoir	11	32.2		15456		43.39	660	15.2
Longkaikou	1092	410	26.535036	100.412963	reservoir	11	15.05						
"Aha Lake, China"	180	155	26.540203	106.647536	lake	11			176851		3.07	32.49	10.6
Aha	1129	155	26.541431	106.64809	reservoir	11		13	176851		3.07	32.49	10.6
Chenghai Lake	1191	96	26.55465	100.66138	lake	11	78.8	25.7	15455	Ch'eng	74.75	3117.06	41.7
Heqing Caohai Lake	1191	214	26.599	100.184	lake	12	0.786	1.6	1383243		0.53	1.13	2.1
Gutian	1145	95	26.6	118.8	reservoir	14	37.1	15	15453		10.77	641	59.5
Baihua reservoir	153	94	26.6517	106.5114	reservoir	11	10.4		15449		11.81	220.8	18.7
Baihua	1015; 1157	94	26.652092	106.512716	reservoir	11	14.5	12	15449		11.81	220.8	18.7
CuihuLongtan	1191	411	26.7414	100.69278	reservoir	11	0.15						
Baiyunshan	1091	154	26.806	115.322	reservoir	14	7.5	12	176826		1.28	114	88.8
Dongfeng	1100; 1154	92	26.817936	106.122607	reservoir	11	19.1	25	15446		20.93	1020	48.7
Ertan	1018	93	26.825069	101.775895	reservoir	11	101		15447		65.43	6200	94.8
Caohai Lake	1191	91	26.84659	104.25954	lake	12	31	2	15445		21.1	89.24	4.2
Hongjiadu	1041; 1100; 1154	412	26.874819	105.828509	reservoir	11	80.5	60					
Suofengying	1100; 1154	413	26.968518	106.371787	reservoir	11	5.7	21					
Wenhai Lake	1191	153	26.98	100.172	lake	12	1.64	3.77	176802		1.41	9.57	6.8
Wujiangdu	1099; 1100; 1154	90	27.27	106.61	reservoir	11	47.8	44.8	15438		32.26	2300	71.3
Hongmen	1091	89	27.475	116.725	reservoir	14	69.6	17.5	15433		34.89	1230	35.3
Lugu Lake	1191	88	27.7093	100.778	lake	12	50.1	40.3	15431		50.03	2564.44	51.3
Xiannv	1091	87	27.728	114.791	reservoir	14	56.7	24.5	15430		32.49	890	27.4
Silin	1154	414	27.802068	108.176289	reservoir	14	38.4	9					
Qionghai Lake	1191	86	27.841	102.2799	lake	11	26.5	14	15428		25.85	332.27	12.9
Napahai	1191	415	27.892	99.633	lake	22	31.25	2.3					
Shudu Lake	1191	152	27.90987	99.9487	lake	23	1.2	20	176723		1.68	29.8	17.7
Xiluodu	1152	416	28.264725	103.640799	reservoir	11	133.65	87					
Horse Lake	1191	151	28.411	103.789	lake	11	7.32	65.7	176630		9.19	32	3.5
grass-fed fishing pond	1185	417	28.53	113.362	lake	14	0.003268						
"Okhla reservoir, deep water, monsoon 2010; Okhla reservoir, deep water, summer 2011; Okhla reservoir, deep water, winter 2011; Okhla reservoir, shallow water, monsoon 2010; Okhla reservoir, shallow water, summer 2011; Okhla reservoir, shallow water, winter 2011"	23	418	28.552172	77.304821	reservoir	6							
intensive fishing pond	1185	419	28.558	113.332	pond	14	0.003835						
no fishing pond	1185	420	28.569	113.358	pond	14	0.016409						
Hunanzhen	1207	85	28.582	118.993	reservoir	14		39.6	15409		44.02	2060	46.8
Lake Apopka	102	14	28.617	-81.633	lake	14			852	Lake Apopka	123.31	1332.32	10.8
Xiangjiaba	1152; 1196	421	28.648046	104.382839	reservoir	11	95.6	10					
Yihai Lake	1191	422	28.730565	102.233636	lake	12	1	9.8					
"Bhalswa Lake, India"	126	213	28.7447	77.17193	lake	6	0.44		1380998		0.36	0.5	1.4
Huangtankou	1207	150	28.797345	118.869172	reservoir	14		30	176516		7.47	104	13.9
Xiaoba	1152	423	28.901309	108.722694	reservoir	14		24.7					
Poyang Lake; Poyang Lake-Duchang; Poyang Lake-Nanjishan; Poyang Lake-Wucheng; Poyang Lake-Xingzi	1038; 1069; 1071; 1088; 1123; 1141; 1159; 1193; 1224	7	29.134614	116.179037	lake	14	3283	8.4	151	Poyang	2398.32	16350	6.8
Wuxuhai Lake	1191	424	29.156957	101.402352	lake	29	1.2						
Datong Lake	1141	84	29.2	112.52	lake	14	114.2	2.6	15381		80.79	182.39	2.3
Zhelin	1091	36	29.216	115.49	reservoir	14	308	16.3	1472		201.81	7920	39.2
site1	254	425	29.253584	106.883036	reservoir	26	0.04						
Yinpan	1154	426	29.27	107.88	reservoir	11	11.4	4					
Yinpan	1154	426	29.278594	107.892068	reservoir	11	11.4	4					
site3	254	428	29.27873	106.592595	reservoir	14	0.09						
Dongting Lake	1008	429	29.294034	113.035118	lake	14	2579	5.5					
Jiangjin	1101	430	29.295	106.254	reservoir	14	1084						
Yankou	1211	149	29.299741	119.913956	reservoir	14	2.85	10	176397		3.54	50	14.1
Pengshui	1154	431	29.304825	108.153889	reservoir	11	15.3	15					
site7	254	432	29.339971	106.28266	reservoir	14	0.06						
Dongting Lake	1141	433	29.361	113.041	lake	14	2579	5.5					
Beforetime Lake	1191	212	29.369	100.09	lake	29	0.591	9.45	1379982		0.64	2.75	4.3
Xingyicuo Lake	1191	148	29.402	100.09638	lake	29	7.5	3	176358		3.22	12.7	3.9
site8	254	434	29.404469	106.588816	reservoir	14	0.05						
SWP1; SWP2; SWP3; SWP4; SWP5	274	35	29.471667	118.744167	reservoir	14	580		1467		424.57	21626	50.9
site2	254	435	29.481104	106.886688	reservoir	11	0.25						
site6	254	436	29.484083	106.753059	reservoir	11	0.2						
Xin'anjiang Reservoir	275	35	29.491028	119.216478	reservoir	14			1467		424.57	21626	50.9
SEP.1; SEP.2; SEP.3; SEP.4; SEP.5	274	35	29.497179	119.161257	reservoir	14	580		1467		424.57	21626	50.9
site15	254	437	29.513279	106.480259	pond	14	0.18						
Longshui	1132	500	29.539	105.806	lake	14			176316		1.68	16.4	9.8
Qiandao	337	35	29.55069	118.926396	reservoir	14	580	30	1467		424.57	21626	50.9
Xinanjiang Reservoir	252	35	29.5614	118.9428	reservoir	14			1467		424.57	21626	50.9
Yutan	1132	146	29.562	105.7	lake	14			176313		1.18	7.74	6.5
Pond-10	1175	438	29.573339	106.271762	lake	14	0.049						
Mudong	1152; 1190	30	29.586	106.845	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
site16	254	439	29.591596	106.552564	pond	11	0.03						
Pond-6	1175	440	29.592167	106.32443	pond	14	0.009						
Pond-9	1175	441	29.59241	106.277706	pond	14	0.09						
Pond-4	1175	442	29.59282	106.299003	pond	14	0.079						
Xin'anjiang	1014; 1084; 1095; 1207	35	29.599	118.982	reservoir	14	573	34	1467		424.57	21626	50.9
Pond-5	1175	443	29.6045	106.296578	pond	14	0.019						
site10	254	444	29.605043	106.72665	reservoir	11	0.09						
Pond-3	1175	445	29.610153	106.310375	pond	14	0.005						
Pond-1	1175	446	29.612112	106.292372	pond	14	0.003						
Pond-7	1175	447	29.612242	106.303166	pond	14	0.028						
Xianshuitan	1132	211	29.616645	105.571703	lake	11			1379582		0.78	3.05	3.9
Pond-2	1175	448	29.61892	106.314839	pond	14	0.023						
Fuchunjiang	1207	83	29.624	119.613	reservoir	14		7.6	15346		45.21	874	19.3
Pond-8	1175	449	29.624656	106.301138	pond	14	0.036						
site14	254	450	29.625308	106.485592	pond	11	0.02						
site11	254	451	29.63605	106.6808	reservoir	11	0.15						
NEP1; NEP2; NEP3; NEP4; NEP5	274	35	29.645556	119.050833	reservoir	14	580		1467		424.57	21626	50.9
site13	254	452	29.659764	106.568697	pond	11	0.13						
Shawan	1085	210	29.664421	106.220702	reservoir	11			1379510		0.44	2.39	5.5
site12	254	453	29.695721	106.627431	reservoir	11	0.02						
Qinglong	1132	454	29.71	106.166	lake	14							
NWD1; NWD2; NWD3	274	35	29.726842	118.720836	reservoir	14	580		1467		424.57	21626	50.9
Sandan	1132	209	29.727	106.236	lake	14			1379415		0.12	0.25	2.2
Fuling	1194	30	29.736	107.375	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Fuling	1016; 1101	30	29.739	107.368	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Yuejin	1132	456	29.749205	106.484711	pond	14	0.006						
Hualong	1132	145	29.77	105.764	lake	11			176244		1.05	21.8	20.8
site9	254	457	29.777177	106.559567	reservoir	11	0.08						
Shuanghe	1132	208	29.78	106.225	lake	11			1379322		0.13	0.66	5.3
Shangyou	1132	144	29.788	105.627	lake	11			176236		2.8	26.7	9.5
Chi Lake	1224	82	29.788	115.705	lake	14	68.9	3	15341		36.26	160.19	4.4
Fuling	1162; 1171; 1190	30	29.794	107.454	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Qingxizhen	1104	30	29.811	107.477	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Changshou	1101; 1171	30	29.823	107.067	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Hong Lake	1141; 1224	34	29.83	113.33	lake	14	2519	1.3	1464	Hong	215.13	473.4	2.2
Fengdu	1101; 1171	30	29.876	107.729	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Fuling	1158	30	29.898	107.484	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
site5	254	458	29.926305	106.754544	reservoir	11	4.9						
Longgan Lake	1141	33	29.93	116.16	lake	14	420	3.7	1463	Longgan	302.31	1655.15	5.5
Wanfeng	1110; 1131; 1150	143	29.947	105.041	reservoir	11	176		176172		4.86	24.2	5
Shizitan	1152	81	29.949	107.3	reservoir	11	65.5	12	15330		29.23	1027	35.1
site4	254	80	30.004567	106.968039	reservoir	11	0.18		15323		12.97	368	28.4
Xiangkengcuo Lake	1191	459	30.02633	101.36599	lake	29	0.03						
Zheduo-6	1191	460	30.06314	101.814153	lake	29	0.048						
Zheduo-1	1191	461	30.066	101.8282	lake	29	0.008						
Zheduo-2	1191	462	30.06787	101.85139	lake	29	0.007						
Zheduo-3	1191	463	30.06875	101.84972	lake	29	0.016						
Zheduo-5	1191	464	30.07045	101.83495	lake	29	0.036						
Zheduo-4	1191	465	30.07739	101.8393	lake	29	0.03						
Daye Lake	1224	79	30.102	115.094	lake	14	54.7		15320	Daye	60.73	216.38	3.6
Qingshan	1207	78	30.239	119.78	reservoir	14	10	4.7	15314		12.27	220	17.9
Liangzi Lake	1141	32	30.25	114.52	lake	14	370	3	1458	Liangzi	302.36	2252.43	7.4
Biandan Pond	1007	77	30.25	114.716	reservoir	14	3.3	2.1	15310		44.5	149.8	3.4
Ce Lake	1141	142	30.25	115.16	lake	14	9	2	176070		8.65	31.64	3.7
Sancha	1191	76	30.2598	104.27379	lake	11	27	11.6	15308		35.54	228.7	6.4
Zhongxian	1101	30	30.269	108.014	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Cuoniba	1191	141	30.328	99.561	lake	29	0.339	3.7	176048		1.19	15.47	13
Ganges_G2	35	75	30.4014	78.4667	reservoir	11			15304		18.89	3540	187.4
Tehri	176	75	30.408936	78.472647	reservoir	11			15304		18.89	3540	187.4
University Lake	332	117	30.409169	-91.164775	lake	14	0.76	0.9	113872		1.06	2.77	2.6
University Lake	271	117	30.414009	-91.166645	reservoir	14	0.75		113872		1.06	2.77	2.6
Zhongxian	1162; 1171; 1190	30	30.416	108.211	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Xijiakou	1085	31	30.416	112.482	reservoir	14			1456	Chang	128.23	370.69	2.9
Geheyan	1090; 1116	74	30.42	111.117	reservoir	14	72		15298		40.9	3400	83.1
Shuibuya	1019	466	30.43475	110.32273	reservoir	14	0.713						
Shuibuya	1028; 1029; 1054	466	30.439	110.341	reservoir	14	0.713						
Capitol Lake	277	189	30.459925	-91.185015	reservoir	14	0.22		1065667		0.23	0.55	2.4
Nantaizi Lake	1141	140	30.49	114.19	lake	14		2	175977		2.78	7.16	2.6
Ganges_J2	35	207	30.5013	77.7975	reservoir	11			1378059		0.37	1.12	3
Lake Donghu	270	73	30.55	114.38	lake	14	0.22		15287		24.28	141.79	5.8
East Lake	1141	73	30.55	114.383	lake	14	27.9	2.5	15287		24.28	141.79	5.8
Lake Donghu	269	73	30.55	114.3833	lake	14	27.9		15287		24.28	141.79	5.8
Fish pond	1221	468	30.561344	103.673541	pond	11	0.00133						
Qinglong Lake	1192	469	30.644428	104.18165	reservoir	11	0.082						
Xiangyang	1221	206	30.667544	103.586204	reservoir	11	0.825	26	1377745		0.49	2.83	5.7
unnamed pond	1102; 1114; 1119	470	30.72518	111.315579	pond	11	0.00305						
unnamed pond	1151	471	30.725196	111.303122	pond	11	0.012						
Yezhulin Pond	1050; 1051	472	30.741938	111.347267	pond	11	0.0025						
Pond-5	1078	205	30.747784	111.347824	pond	11	0.00375		1377619		0.21	0.81	3.8
Meiziya	1078	205	30.748384	111.345987	pond	11	0.3		1377619		0.21	0.81	3.8
Pond-4	1078	205	30.751999	111.349978	pond	11	0.003		1377619		0.21	0.81	3.8
Pond-3	1073	205	30.756418	111.348688	pond	11	0.008		1377619		0.21	0.81	3.8
Pond-2	1073	205	30.7569	111.34849	pond	11	0.002		1377619		0.21	0.81	3.8
Pond-1	1073	473	30.761376	111.333856	pond	11	0.0045						
Wanzhou	1171; 1217	30	30.770842	108.415532	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wanzhou	1190	30	30.772115	108.416486	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wanzhou	1162	30	30.774	108.412883	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wanzhou	1171	30	30.774	108.429	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Caizi Lake	1141; 1224	71	30.78	117.12	lake	14	226	3	15270		71.47	201.8	2.8
Yichang	1016	72	30.804	111.1645	reservoir	11	1084		15271		52.42	1580	30.1
Wanzhou	1194	30	30.804939	108.388803	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wanzhou	1101; 1194	30	30.806	108.388	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Baidang Lake	1141	70	30.81095	117.374538	lake	14	57.8	3.1	15268		37.52	100.21	2.7
Guanzhuang	1183	204	30.81204	111.433835	reservoir	11	0.77		1377508		0.26	16	62.5
Wanzhou	1037	30	30.819	108.402	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zigui	1037	72	30.825	111.022	reservoir	11	1084		15271		52.42	1580	30.1
Xilingqiao	1037	72	30.83	111.05	reservoir	11	1084		15271		52.42	1580	30.1
Taipingxizhen	1104	30	30.83689	110.998951	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Huanglingmiao	1037	72	30.842	111.077	reservoir	11	1084		15271		52.42	1580	30.1
Sandouping	1016; 1035	72	30.844	111.077	reservoir	11	1084		15271		52.42	1580	30.1
Maoping	1045	30	30.854	110.994	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zigui	1017; 1035	30	30.859766	110.989627	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Yaojiaba	1210	30	30.863317	110.976038	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zigui	1171; 1194	30	30.868	110.991	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Baisuixi	1057	30	30.875	110.961	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Hanjiawan	1057	30	30.887	110.923	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Majiashan	1210	30	30.893	110.856	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Kaixian	1016	30	30.912	108.536	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Yunyang	1101; 1171	30	30.919	108.719	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Pengxi Bay)	325	30	30.946109	108.671793	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Pengxi Bay)	325	30	30.948733	108.6543	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Xiaojiang	1052	30	30.951	108.659	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Yunyang	1017; 1035	30	30.952	108.653	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Xiangxi Bay)	325	30	30.961097	110.754469	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Guojiaba	1027; 1034; 1171	30	30.962257	110.741282	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zigui	1101	30	30.967	110.755	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Xiangxi	1045	30	30.967	110.762	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Xiangxi	1063	30	30.967	110.767	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Guizhou	1045	30	30.973977	110.708595	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	69	30.985458	112.022153	reservoir	14	104	20.2	15246		55.72	2030	36.4
Megutuo	1210	30	31.003	110.634	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Baidicheng; Fengjie	1083	30	31.005	109.465	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Fengjie	1101; 1171	30	31.008	109.468	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zhuyi	1074	30	31.012	109.468	reservoir	11	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	69	31.012939	112.020394	reservoir	11	104	20.2	15246		55.72	2030	36.4
Zhanghe	322	69	31.013894	112.0467	reservoir	11	104	20.2	15246		55.72	2030	36.4
Three Gorges Dam (Xiangxi Bay)	325	30	31.015743	110.751947	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Pengxi Bay)	325	30	31.01766	108.709419	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Zipingpu (All-autumn); Zipingpu (All-spring); Zipingpu (All-summer); Zipingpu (All-winter); Zipingpu (Ds); Zipingpu (Laz); Zipingpu (Riz); Zipingpu (Trz); Zipingpu (Z1); Zipingpu (Z2)	333	30	31.033333	103.55	reservoir	11	18.16	55	1453	Three Gorges Reservoir	852.97	39300	46.1
Fengjie	1074; 1093	30	31.038	109.524	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Dongpo	1210	30	31.038	110.318	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	30	31.040119	112.017953	reservoir	11	104	20.2	1453	Three Gorges Reservoir	852.97	39300	46.1
Meixi	1055	30	31.041	109.544	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Badong	1101; 1171	30	31.041	110.324	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Caotang	1066	30	31.045	109.578	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Baidicheng	1083	30	31.046	109.577	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Xiangxi	1037	30	31.047985	110.749819	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Jichuanqiao	1210	30	31.0508	110.382	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Shengnong Bay)	325	30	31.051539	110.321375	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Badong	1037	30	31.052	110.336	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wushan	1017; 1035	30	31.057	109.85	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Xibeikou	1178; 1216	139	31.057	111.336	reservoir	11			175721		6.58	210	31.9
Three Gorges Dam (Daning Bay)	325	30	31.057112	109.861133	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Pengxi Bay)	325	30	31.061775	108.690586	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Wushan	1101	30	31.065	109.874	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Wushan	1016	30	31.066	109.932	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Dalian Lake	1219	203	31.066	120.993	lake	14	0.97	1.7	1376919		0.23	0.43	1.8
Wushan	1171; 1194	30	31.068	109.884	reservoir	14	1084		1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	68	31.069256	111.934075	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Three Gorges Dam (Daning Bay)	325	30	31.071891	109.887604	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Dangzi Tso	1191	479	31.073	98.931	lake	29	0.5	18.9					
Three Gorges Dam (Shengnong Bay)	325	30	31.087829	110.314216	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	68	31.089986	111.922103	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Zhanghe	322	68	31.091456	111.948794	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Three Gorges Dam (Pengxi Bay)	325	30	31.093759	108.670823	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Pengxi Bay)	325	30	31.105736	108.617531	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	68	31.109978	111.976261	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Three Gorges Dam (Daning Bay)	325	30	31.113448	109.888589	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	
Zhanghe	322	68	31.115119	111.910214	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Dianshan Lake-1; Dianshan Lake-2; Dianshan Lake-3; Dianshan Lake-4; Dianshan Lake-5; Dianshan Lake-6; Dianshan Lake-7; Dianshan Lake-8; Dianshan Lake-9	1033	67	31.130669	120.989645	lake	14	62	2.1	15239		62.19	113.7	1.8
Dianshan Lake	1141	67	31.14	121.03	lake	14	62	2.1	15239		62.19	113.7	1.8
Zhanghe	322	68	31.152589	111.899528	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Three Gorges Dam (Shengnong Bay)	325	30	31.15549	110.32456	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Daning Bay)	325	30	31.184005	109.872074	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Three Gorges Dam (Shengnong Bay)	325	30	31.188976	110.301956	reservoir	11	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Zhanghe	322	68	31.193261	111.876208	reservoir	11	104	20.2	15242		20.8	595.31	28.6
Lake Taihu	268	6	31.195862	120.13869	lake	14	2400		148	Tai	2329.14	5140	2.2
Xiaojiang pond-1; Xiaojiang pond-2	1121	486	31.201785	108.49187	lake	11	0.000401						
Lake Taihu	267	6	31.21	120.3	lake	14	2400		148	Tai	2329.14	5140	2.2
Tianfumiao	1178	138	31.213	111.37	reservoir	11		30	175634		2.66	64	24.1
