site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
2220,Longchuan River-56,101.4759,25.8,101.47625,25.80208333,234.5533987,NA,3.5,43.520401,43.40882874,4,4,0.014721,1778
2235,NPJ-14,103.954604,25.899749,103.95625,25.89791667,262.248466,NA,3,11.60300446,11.56157112,3,3,0,2107
2237,Nanpan-1,103.954989,25.901346,103.9554167,25.89875,292.1414205,NA,3,11.58996868,11.45597649,3,3,0.020685,2112
2282,Ganges_W2Ê,80.426112,26.417637,80.42708333,26.41875,157.2519581,NA,3,1.232426524,1.224000096,2,2,0.02471,114
2420,Chiwu Creek-1,107.269614,28.256929,107.2770833,28.25125,967.5177277,NA,4.5,30.57046318,0.7083565,2,4,0,718
2443,S2-Tuojia River,113.338326,28.557677,113.3395833,28.55625,200.8679926,NA,2.5,31.35593414,0.007543163,NA,4,0.002598,69
2444,Tuojia River-2,113.328329,28.573685,113.3304167,28.57208333,271.0057624,NA,3,16.19258308,0.056621715,NA,4,0,76
2446,S1-Tuojia River,113.352861,28.577469,113.3520833,28.57541667,240.7814335,NA,2.5,1.594788194,1.514532208,2,2,0.042433,99
2451,Tuojia River-1,113.324272,28.586638,113.32625,28.58541667,236.3648966,NA,3,10.89149857,0.134342417,1,4,0.025114,86
2574,ES2,106.754767,29.398567,106.7554167,29.40041667,215.3283951,NA,3,14.17124557,0.011654607,NA,4,0,304
2623,TD1,106.443848,29.473239,106.44375,29.47208333,128.9983297,NA,3.5,14.61567688,14.58743095,4,4,0,307
2631,Chongqing-41,106.347919,29.4841,106.3579167,29.48458333,970.2921176,NA,4,15.9889679,14.35780239,4,5,0.000866,295
2654,Area V,106.499519,29.510269,106.4970833,29.50875,290.2959085,NA,3,0.10226392,0.009913978,NA,1,0.019446,278
2664,Area III,106.300014,29.529858,106.3045833,29.53791667,1000.313337,NA,4.5,59.51577759,0.007697271,NA,5,0,285
2701,Phoenix-1,106.442945,29.583053,106.44375,29.58375,109.9694039,NA,3,4.158453465,4.042955399,3,3,0,184
2702,Phoenix-2,106.443878,29.583466,106.4454167,29.58541667,263.3248289,NA,3,4.611782074,4.158453465,3,3,0.004345,192
2759,Jiuqu-2,106.495434,29.655047,106.4854167,29.65458333,970.4412545,NA,4,4.221158504,3.202464342,4,4,0.009526,243
2805,Area IV,106.928418,29.740711,106.9304167,29.74208333,246.28726,NA,3,6.559633255,6.415327072,3,3,0.030416,201
2825,Chongqing-22,106.938408,29.75992,106.9404167,29.75791667,295.6589361,NA,3.5,12.61518383,0.029869806,NA,3,0,180
2847,Chaoyang River-1,106.746688,29.801164,106.7445833,29.79958333,268.8789092,NA,2.5,2.784990072,0.014623666,NA,2,0.035652,304
2889,DRAIN,-82.28359,29.86273,-82.28375,29.86208333,73.62511097,34,4,22.71909714,0.01519168,NA,4,0.008393,32
2910,Heishuitan-10,106.555316,29.901664,106.5554167,29.89958333,231.822387,NA,3,8.276063919,8.194293976,3,3,0.014722,353
2943,Hou River-1,106.710272,29.999748,106.7070833,29.99125,994.6905245,NA,4,23.68792915,5.556786537,4,4,0,477
2945,Area I,106.649025,30.01011,106.6529167,30.00208333,969.0857778,NA,4.5,59.92697144,0.017331459,NA,4,0,314
3016,Min-2,103.649497,30.573728,103.6470833,30.57208333,295.0183352,NA,3,4.189652443,0.104548581,NA,3,0.00433,518
3031,Manao River,111.598,30.65,111.5995833,30.64958333,158.5682805,NA,4,70.83267212,3.918066025,NA,4,0,106
3087,Xialao-15,111.247399,30.81718,111.2504167,30.81791667,299.922295,NA,4,18.9250164,0.020671198,NA,3,0.040554,128
3090,Xialao-14,111.241956,30.822841,111.2504167,30.81791667,977.0869669,NA,4.5,18.9250164,0.011781013,NA,3,0.040554,128
3281,Zhongtian-8,119.432276,31.156551,119.4295833,31.15791667,298.1746053,NA,3,4.245359898,0.010711786,NA,3,0.029433,124
3282,Zhongtian-9,119.42955,31.158268,119.4279167,31.15791667,160.4328996,NA,2.5,4.374465942,4.245359898,3,3,0.023029,125
3285,Zhongtian-7,119.412483,31.160224,119.4120833,31.16208333,210.4522882,NA,4,11.27354622,0.008658981,NA,4,0.032531,97
3334,Zhongtian-10,119.37975,31.216425,119.38125,31.21625,144.1260456,NA,3,4.756051064,4.605491161,3,3,0.020138,34
3571,Bayao Creek,121.572349,31.630579,121.5695833,31.62958333,284.607695,NA,3,0.679533362,0.19449231,NA,2,0,3
3575,XXH3,109.199636,31.636679,109.2095833,31.63458333,971.217976,NA,4,8.38689518,4.488385201,3,3,0.1318,717
3703,Moon River-1,108.401817,32.921552,108.40375,32.92208333,190.0630943,NA,4,8.003499985,0.014706605,NA,3,0,513
3725,Zhimenda-2,97.369248,33.17025,97.36708333,33.16208333,931.2182764,NA,4,131.7060242,107.5687485,5,5,0.025113,3919
1,Pine Creek,153.032309,-30.39781,153.03375,-30.39791667,138.8686233,37.433285,10,38.5655365,0.022637913,NA,4,0,7
2,Bonville Creek,153.025157,-30.373,153.0270833,-30.37291667,185.2397126,10.679629,7,19.3620472,0.035251811,NA,4,0,13
3,Cordwell Creek,153.067155,-30.346042,153.06875,-30.34541667,168.2994697,4.588756,6,6.175686359,0.007752444,NA,3,0.001552,7
