Reference,Authors,Title,Journal,Year,DOI,Database
96,"S. Fazi, S. Amalfitano, S. Venturi, N. Pacini, E. Vazquez, L. A. Olaka, F. Tassi, S. Crognale, P. Herzsprung, O. J. Lechtenfeld, J. Cabassi, F. Capecchiacci, S. Rossetti, M. M. Yakimov, O. Vaselli, D. M. Harper and A. Butturini",High concentrations of dissolved biogenic methane associated with cyanobacterial blooms in East African lake surface water,COMMUNICATIONS BIOLOGY,2021,10.1038/s42003-021-02365-x,Lakes
97,"C. Galy-Lacaux, R. Delmas, G. Kouadio, S. Richard and P. Gosse",Long-term greenhouse gas emissions from hydroelectric reservoirs in tropical forest regions,GLOBAL BIOGEOCHEMICAL CYCLES,1999,10.1029/1998GB900015,Lakes
98,"N. Geeraert, F. O. Omengo, A. V. Borges, G. Govers and S. Bouillon","Shifts in the carbon dynamics in a tropical lowland river system (Tana River, Kenya) during flooded and non-flooded conditions",BIOGEOCHEMISTRY,2017,10.1007/S10533-017-0292-2,Rivers
100,"L. Gómez-Gener, G. Rocher-Ros, T. Battin, M. J. Cohen, H. J. Dalmagro, K. J. Dinsmore, T. W. Drake, C. Duvert, A. Enrich-Prast, Å. Horgby, M. S. Johnson, L. Kirk, F. Machado-Silva, N. S. Marzolf, M. J. McDowell, W. H. McDowell, H. Miettinen, A. K. Ojala, H. Peter, J. Pumpanen, L. Ran, D. A. Riveros-Iregui, I. R. Santos, J. Six, E. H. Stanley, M. B. Wallin, S. A. White and R. A. Sponseller",Global carbon dioxide efflux from rivers enhanced by high nocturnal emissions,Nature Geoscience,2021,10.1038/s41561-021-00722-3,Rivers
101,"P. Gosse, G. Abril, F. Guerin, S. Richard and R. Delmas",Evolution and relationships of greenhouse gases and dissolved oxygen during 1994-2003 in a river downstream of a tropical reservoir,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2005,10.1080/03680770.2005.11902747,Rivers
102,"B. H. Gu, C. L. Schelske and M. F. Coveney",Low carbon dioxide partial pressure in a productive subtropical lake,AQUATIC SCIENCES,2011,10.1007/s00027-010-0179-y,Lakes
103,F. Guerin and G. Abril,Significance of pelagic aerobic methane oxidation in the methane and carbon budget of a tropical reservoir,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2007,10.1029/2006JG000393,Lakes
104,"F. Guérin, G. Abril, S. Richard, B. Burban, C. Reynouard, P. Seyler and R. Delmas",Methane and carbon dioxide emissions from tropical reservoirs: Significance of downstream rivers,GEOPHYSICAL RESEARCH LETTERS,2006,10.1029/2006GL027929,Lakes
105,"F. Guerin, G. Abril, D. Serca, C. Delon, S. Richard, R. Delmas, A. Tremblay and L. Varfalvy",Gas transfer velocities of CO2 and CH4 in a tropical reservoir and its river downstream,JOURNAL OF MARINE SYSTEMS,2007,10.1016/j.jmarsys.2006.03.019,Lakes
106,"F. Guérin, G. Abril, A. Tremblay and R. Delmas",Nitrous oxide emissions from tropical hydroelectric reservoirs,GEOPHYSICAL RESEARCH LETTERS,2008,10.1029/2007GL033057,Lakes
107,"F. Guerin, C. Deshmukh, D. Labat, S. Pighini, A. Vongkhamsao, P. Guedant, W. Rode, A. Godon, V. Chanudet, S. Descloux and D. Serca","Effect of sporadic destratification, seasonal overturn, and artificial mixing on CH4 emissions from a subtropical hydroelectric reservoir",BIOGEOSCIENCES,2016,10.5194/bg-13-3647-2016,Lakes
108,"B. Hagedorn, A. I. El-Kadi and R. B. Whittier","Controls on the _13CDIC and alkalinity budget of a flashy subtropical stream (Manoa River, Hawaii)",Applied Geochemistry,2016,10.1016/j.apgeochem.2016.07.008,Rivers
109,"S. K. Hamilton, S. J. Sippel and J. M. Melack",OXYGEN DEPLETION AND CARBON-DIOXIDE AND METHANE PRODUCTION IN WATERS OF THE PANTANAL WETLAND OF BRAZIL,BIOGEOCHEMISTRY,1995,10.1007/BF00002727,Rivers; Lakes
110,"M. M. Haque, M. S. Begum, O. K. Nayna, S. M. Tareq and J.-H. Park",Seasonal shifts in diurnal variations of pCO2 and O2 in the lower Ganges River,Limnology and Oceanography Letters,2022,10.1002/lol2.10246,Rivers
111,"J. A. Harrison, P. A. Matson and S. E. Fendorf",Effects of a diel oxygen cycle on nitrogen transformations and greenhouse gas emissions in a eutrophied subtropical stream,AQUATIC SCIENCES,2005,10.1007/s00027-005-0776-3,Rivers
112,"M. E. Hernandez, M. Galindo-Zetina and J. C. Hernandez-Hernandez",Greenhouse gas emissions and pollutant removal in treatment wetlands with ornamental plants under subtropical conditions,ECOLOGICAL ENGINEERING,2018,10.1016/j.ecoleng.2017.06.001,Lakes
113,"Y. A. Husin, D. Murdiyarso, M. A. K. Khalil, R. A. Rasmussen, M. J. Shearer, S. Sabiham, A. Sunar and H. Adijuwana",METHANE FLUX FROM INDONESIAN WETLAND RICE - THE EFFECTS OF WATER MANAGEMENT AND RICE VARIETY,CHEMOSPHERE,1995,10.1016/0045-6535(95)00173-6,Lakes
115,"M. Itoh, Y. Kobayashi, T. Y. Chen, T. Tokida, M. Fukui, H. Kojima, T. Miki, I. Tayasu, F. K. Shiah and N. Okuda",Effect of interannual variation in winter vertical mixing on CH4 dynamics in a subtropical reservoir,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2015,10.1002/2015JG002972,Lakes
116,D. Jaiswal and J. Pandey,"Carbon dioxide emission coupled extracellular enzyme activity at land-water interface predict C-eutrophication and heavy metal contamination in Ganga River, India",ECOLOGICAL INDICATORS,2019,10.1016/j.ecolind.2018.12.046,Rivers
117,"D. Jaiswal, E. Siddiqui, K. Verma and J. Pandey",Carbon dioxide emission and its regulation at land-water interface downstream of a point source at Ganga River (India),WATER AND ENVIRONMENT JOURNAL,2018,10.1111/wej.12332,Rivers
118,H. W. Jannasch,METHANE OXIDATION IN LAKE KIVU (CENTRAL AFRICA),LIMNOLOGY AND OCEANOGRAPHY,1975,10.4319/lo.1975.20.5.0860,Lakes
119,"L. C. Jeffrey, D. T. Maher, S. G. Johnston, B. P. Kelaher, A. Steven and D. R. Tait",Wetland methane emissions dominated by plant-mediated fluxes: Contrasting emissions pathways and seasons within a shallow freshwater subtropical wetland,LIMNOLOGY AND OCEANOGRAPHY,2019,10.1002/lno.11158,Wetlands
120,"L. C. Jeffrey, D. T. Maher, S. G. Johnston, K. Maguire, A. D. L. Steven and D. R. Tait","Rhizosphere to the atmosphere: Contrasting methane pathways, fluxes, and geochemical drivers across the terrestrial-aquatic wetland boundary",BIOGEOSCIENCES,2019,10.5194/bg-16-1799-2019,Wetlands
121,"L. C. Jeffrey, I. R. Santos, D. R. Tait, U. Makings and D. T. Maher","Seasonal Drivers of Carbon Dioxide Dynamics in a Hydrologically Modified Subtropical Tidal River and Estuary (Caboolture River, Australia)",Journal of Geophysical Research: Biogeosciences,2018,10.1029/2017JG004023,Rivers
122,"M. S. Johnson, M. F. Billett, K. J. Dinsmore, M. Wallin, K. E. Dyson and R. S. Jassal",Direct and continuous measurement of dissolved carbon dioxide in freshwater aquatic systems-method and applications,Ecohydrology,2010,10.1002/eco.95,Rivers
123,"M. S. Johnson, J. Lehmann, S. J. Riha, A. V. Krusche, J. E. Richey, J. P. H. B. Ometto and E. G. Couto",CO2 efflux from Amazonian headwater streams represents a significant fate for deep soil respiration,GEOPHYSICAL RESEARCH LETTERS,2008,10.1029/2008gl034619,Rivers
125,"S. E. Jones, T. K. Kratz, C. Y. Chiu and K. D. McMahon","Influence of typhoons on annual CO2 flux from a subtropical, humic lake",GLOBAL CHANGE BIOLOGY,2009,10.1111/j.1365-2486.2008.01723.x,Lakes
126,P. Joshi and N. S. Siddaiah,"Carbon dioxide dynamics of Bhalswa Lake: a human-impacted urban wetland of Delhi, India",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2021,10.1007/s10668-021-01430-z,Lakes
127,"P. C. Junger, F. d. C. C. Dantas, R. L. G. Nobre, S. Kosten, E. M. Venticinque, F. d. C. Araújo, H. Sarmento, R. Angelini, I. Terra, A. Gaudêncio, N. H. They, V. Becker, C. R. Cabral, L. Quesado, L. S. Carneiro, A. Caliman and A. M. Amado","Effects of seasonality, trophic state and landscape properties on CO2 saturation in low-latitude lakes and reservoirs",SCIENCE OF THE TOTAL ENVIRONMENT,2019,10.1016/j.scitotenv.2019.01.273,Lakes
128,"A. Kemenes, B. R. Forsberg and J. M. Melack","CO2 emissions from a tropical hydroelectric reservoir (Balbina, Brazil)",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2011,10.1029/2010JG001465,Lakes
129,"Y. J. M. Koné, G. Abril, B. Delille and A. V. Borges",Seasonal variability of methane in the rivers and lagoons of Ivory Coast (West Africa),BIOGEOCHEMISTRY,2010,10.1007/s10533-009-9402-0,Rivers
130,"Y. J. M. Koné, G. Abril, K. N. Kouadio, B. Delille and A. V. Borges",Seasonal variability of carbon dioxide in the rivers and lagoons of ivory coast (West Africa),Estuaries and Coasts,2009,10.1007/s12237-008-9121-0,Rivers
131,"J. P. Kruger, H. Beckedahl, G. Gerold and H. F. Jungkunst","Greenhouse gas emission peaks following natural rewetting of two wetlands in the southern Ukhahlamba-Drakensberg Park, South Africa",SOUTH AFRICAN GEOGRAPHICAL JOURNAL,2014,10.1080/03736245.2013.847798,Wetlands
133,"J. H. Li, J. B. Pu, T. Zhang, S. Y. Huang and D. X. Yuan",Seasonal variations and intricate diel differences in the physio-chemical parameters and CO2 emissions from a typical karst groundwater-fed reservoir in southern China,ENVIRONMENTAL EARTH SCIENCES,2019,10.1007/s12665-019-8493-8,Lakes
134,"Q. Li, F. Wang, Q. Yu, W. Yan, X. Li and S. Lv","Dominance of nitrous oxide production by nitrification and denitrification in the shallow Chaohu Lake, Eastern China: Insight from isotopic characteristics of dissolved nitrous oxide",Environmental Pollution,2019,10.1016/j.envpol.2019.113212,Lakes
135,"S. Li, J. Luo, D. Wu and Y. Jun Xu",Carbon and nutrients as indictors of daily fluctuations of pCO2 and CO2 flux in a river draining a rapidly urbanizing area,ECOLOGICAL INDICATORS,2020,10.1016/j.ecolind.2019.105821,Rivers
136,"S. Y. Li, R. Mao, Y. M. Ma and V. Sarma",Gas transfer velocities of CO2 in subtropical monsoonal climate streams and small rivers,BIOGEOSCIENCES,2019,10.5194/bg-16-681-2019,Rivers
137,"S. Y. Li, M. F. Ni, R. Mao and R. T. Bush",Riverine CO2 supersaturation and outgassing in a subtropical monsoonal mountainous area (Three Gorges Reservoir Region) of China,JOURNAL OF HYDROLOGY,2018,10.1016/j.jhydrol.2018.01.057,Rivers
138,S. Y. Li and Q. F. Zhang,"Partial pressure of CO2 and CO2 emission in a monsoon-driven hydroelectric reservoir (Danjiangkou Reservoir), China",ECOLOGICAL ENGINEERING,2014,10.1016/j.ecoleng.2014.07.014,Lakes
139,"X. Li, G. Han, M. Liu, C. Song, Q. Zhang, K. Yang and J. Liu","Hydrochemistry and dissolved inorganic carbon (DIC) cycling in a tropical agricultural river, mun river basin, Northeast Thailand",International Journal of Environmental Research and Public Health,2019,10.3390/ijerph16183410,Rivers; Lakes
141,"I. B. T. Lima, R. L. Victoria, E. Novo, B. J. Feigl, M. V. R. Ballester and J. P. Ometto","Methane, carbon dioxide and nitrous oxide emissions from two Amazonian Reservoirs during high water",Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2002,10.1080/03680770.2001.11902620,Lakes
142,"L. Lin, X. Lu, S. Liu, S. Y. Liong and K. Fu",Physically controlled CO2 effluxes from a reservoir surface in the upper Mekong River Basin: A case study in the Gongguoqiao Reservoir,BIOGEOSCIENCES,2019,10.5194/bg-16-2205-2019,Rivers; Lakes
143,"A. Linkhorst, C. Hiller, T. DelSontro, G. M. Azevedo, N. Barros, R. Mendonça and S. Sobek",Comparing methane ebullition variability across space and time in a Brazilian reservoir,LIMNOLOGY AND OCEANOGRAPHY,2020,10.1002/lno.11410,Lakes
144,"A. Linkhorst, J. R. Paranaiba, R. Mendonca, D. Rudberg, T. DelSontro, N. Barros and S. Sobek",Spatially Resolved Measurements in Tropical Reservoirs Reveal Elevated Methane Ebullition at River Inflows and at High Productivity,GLOBAL BIOGEOCHEMICAL CYCLES,2021,10.1029/2020GB006717,Lakes
145,"B. Liu, M. Tian, K. Shih, C. N. Chan, X. Yang and L. Ran",Spatial and temporal variability of pCO2 and CO2 emissions from the Dong River in south China,BIOGEOSCIENCES,2021,10.5194/bg-18-5231-2021,Rivers
146,J. Liu and G. Han,Effects of chemical weathering and CO2 outgassing on _13CDIC signals in a karst watershed,JOURNAL OF HYDROLOGY,2020,10.1016/j.jhydrol.2020.125192,Rivers
147,"S. Liu, X. X. Lu, X. Xia, X. Yang and L. Ran",Hydrological and geomorphological control on CO2 outgassing from low-gradient large rivers: An example of the Yangtze River system,JOURNAL OF HYDROLOGY,2017,10.1016/j.jhydrol.2017.04.044,Rivers
148,"S. Liu, X. X. Lu, X. Xia, S. Zhang, L. Ran, X. Yang and T. Liu",Dynamic biogeochemical controls on river pCO2 and recent changes under aggravating river impoundment: An example of the subtropical Yangtze River,GLOBAL BIOGEOCHEMICAL CYCLES,2016,10.1002/2016GB005388,Rivers
149,"H. Long, L. Vihermaa, S. Waldron, T. Hoey, S. Quemin and J. Newton",Hydraulics are a first-order control on CO2 efflux from fluvial systems,Journal of Geophysical Research: Biogeosciences,2015,10.1002/2015JG002955,Rivers
150,"A. Looman, I. R. Santos, D. R. Tait, J. R. Webb, C. A. Sullivan and D. T. Maher",Carbon cycling and exports over diel and flood-recovery timescales in a subtropical rainforest headwater stream,SCIENCE OF THE TOTAL ENVIRONMENT,2016,10.1016/j.scitotenv.2016.01.082,Rivers
151,"T. d. N. Lopes, L. H. G. Coelho, H. Mata-Lima, T. A. d. Jesus, A. C. R. d. Costa, J. M. d. A. Pereira and R. F. Benassi","The Influence of Pollution Sources on CH4 and CO2 Emissions in Urbanized Wetland Areas of a Tropical Reservoir, Southeast, Brazil",Journal of Environmental Engineering,2022,10.1061/(ASCE)EE.1943-7870.0001942,Lakes
152,"J. C. Luo, S. Y. Li, M. F. Ni and J. Zhang",Large spatiotemporal shifts of CO2 partial pressure and CO2 degassing in a monsoonal headwater stream,JOURNAL OF HYDROLOGY,2019,10.1016/j.jhydrol.2019.124135,Rivers
153,"Y. Lv, M. Yue and G. Xu",Seasonal variations in dissolved CH4 and its controlling factors in two subtropical eutrophic reservoirs in China,Arabian Journal of Geosciences,2022,10.1007/s12517-022-09513-5,Lakes
154,"P. A. Macklin, I. Suryaputra, D. T. Maher and I. R. Santos","Carbon dioxide dynamics in a lake and a reservoir on a tropical island (Bali, Indonesia) (vol 13, e0198678, 2018)",PLOS ONE,2018,10.1371/journal.pone.0198678,Lakes
155,"S. L. Malone, J. B. Zhao, J. S. Kominoski, G. Starr, C. L. Staudhammer, P. C. Olivas, J. C. Cummings and S. F. Oberbauer",Integrating Aquatic Metabolism and Net Ecosystem CO2 Balance in Short- and Long-Hydroperiod Subtropical Freshwater Wetlands,ECOSYSTEMS,2021,10.1007/s10021-021-00672-2,Wetlands
157,L. Marani and P. C. Alvala,"Methane emissions from lakes and floodplains in Pantanal, Brazil",ATMOSPHERIC ENVIRONMENT,2007,10.1016/j.atmosenv.2006.10.046,Lakes
158,"A. A. Marcelino, M. A. Santos, V. L. Xavier, C. S. Bezerra, C. R. O. Silva, M. A. Amorim, R. P. Rodrigues and J. P. Rogerio",Diffusive emission of methane and carbon dioxide from two hydropower reservoirs in Brazil,BRAZILIAN JOURNAL OF BIOLOGY,2015,10.1590/1519-6984.12313,Lakes
159,"L. Marcon, T. Bleninger, M. Männich and S. Hilgert",High-frequency measurements of gas ebullition in a Brazilian subtropical reservoir—identification of relevant triggers and seasonal patterns,ENVIRONMENTAL MONITORING AND ASSESSMENT,2019,10.1007/s10661-019-7498-9,Lakes
160,"C. C. Marinho, C. P. Silva, E. F. Albertoni, C. R. Trindade and F. A. Esteves",Seasonal dynamics of methane in the water column of two subtropical lakes differing in trophic status,BRAZILIAN JOURNAL OF BIOLOGY,2009,10.1590/S1519-69842009000200007,Lakes
161,"H. Marotta, C. M. Duarte, B. A. Guimaraes-Souza and A. Enrich-Prast",Synergistic control of CO2 emissions by fish and nutrients in a humic tropical lake,OECOLOGIA,2012,10.1007/s00442-011-2131-9,Lakes
162,"H. Marotta, C. M. Duarte, F. Meirelles-Pereira, L. Bento, F. A. Esteves and A. Enrich-Prast",Long-Term CO2 Variability in Two Shallow Tropical Lakes Experiencing Episodic Eutrophication and Acidification Events,ECOSYSTEMS,2010,10.1007/s10021-010-9325-6,Lakes
163,"K. Martinez-Cruz, R. Gonzalez-Valencia, A. Sepulveda-Jauregui, F. Plascencia-Hernandez, Y. Belmonte-Izquierdo and F. Thalasso",Methane emission from aquatic ecosystems of Mexico City,AQUATIC SCIENCES,2017,10.1007/s00027-016-0487-y,Rivers; Lakes
164,"T. R. Marwick, F. Tamooh, B. Ogwoka, A. V. Borges, F. Darchambeau and S. Bouillon",A comprehensive biogeochemical record and annual flux estimates for the Sabaki River (Kenya),BIOGEOSCIENCES,2018,10.5194/bg-15-1683-2018,Rivers
165,"E. Mayorga, A. K. Aufdenkampe, C. A. Masiello, A. V. Krusche, J. I. Hedges, P. D. Quay, J. E. Richey and T. A. Brown",Young organic matter as a source of carbon dioxide outgassing from Amazonian rivers,NATURE,2005,10.1038/nature03880,Rivers
166,A. Mazot and Y. Taran,CO2 flux from the volcanic lake of El Chichon (Mexico),GEOFISICA INTERNACIONAL,2009,no DOI,Lakes
167,"M. U. Mendoza-Pascual, M. Itoh, J. I. Aguilar, K. S. A. R. Padilla, R. D. S. Papa and N. Okuda",Controlling Factors of Methane in Tropical Lakes of Different Depths,Journal of Geophysical Research: Biogeosciences,2021,10.1029/2020JG005828,Lakes
168,"B. L. Miller, G. W. Holtgrieve, M. E. Arias, S. Uy and P. Chheng","Coupled CH4 production and oxidation support CO2 supersaturation in a tropical flood pulse lake (Tonle Sap Lake, Cambodia)",Proceedings of the National Academy of Sciences,2022,10.1073/pnas.2107667119,Lakes
169,"C. Morana, S. Bouillon, V. Nolla-Ardèvol, F. A. E. E. Roland, W. Okello, J. P. Descy, A. Nankabirwa, E. Nabafu, D. Springael, A. V. Borges, V. Nolla-Ardevol, F. A. E. E. Roland, W. Okello, J. P. Descy, A. Nankabirwa, E. Nabafu, D. Springael and A. V. Borges",Methane paradox in tropical lakes? Sedimentary fluxes rather than pelagic production in oxic conditions sustain methanotrophy and emissions to the atmosphere,BIOGEOSCIENCES,2020,10.5194/bg-17-5209-2020,Lakes
170,"M. Moustapha, L. Deirmendjian, D. Sebag, J.-J. Braun, S. Audry, H. Ateba Bessa, T. Adatte, C. Causserand, I. Adamou, B. Ngounou Ngatcha and F. Guérin","Partitioning carbon sources between wetland and well-drained ecosystems to a tropical first-order stream – implications for carbon cycling at the watershed scale (Nyong, Cameroon)",BIOGEOSCIENCES,2022,10.5194/bg-19-137-2022,Rivers
171,"D. Muller, T. Warneke, T. Rixen, M. Muller, S. Jamahari, N. Denis, A. Mujahid and J. Notholt",Lateral carbon fluxes and CO2 outgassing from a tropical peat-draining river,BIOGEOSCIENCES,2015,10.5194/bg-12-5967-2015,Rivers
172,"D. Müller-Dum, T. Warneke, T. Rixen, M. Müller, A. Baum, A. Christodoulou, J. Oakes, B. D. Eyre and J. Notholt","Impact of peatlands on carbon dioxide (CO 2 ) emissions from the Rajang River and Estuary, Malaysia",BIOGEOSCIENCES,2019,10.5194/bg-16-17-2019,Rivers
173,"R. S. Musenze, L. Fan, A. Grinham, U. Werner, D. Gale, J. Udy and Z. G. Yuan",Methane dynamics in subtropical freshwater reservoirs and the mediating microbial communities,BIOGEOCHEMISTRY,2016,10.1007/s10533-016-0206-8,Lakes
174,"R. M. Mwanake, G. M. Gettel, K. S. Aho, D. W. Namwaya, F. O. Masese, K. Butterbach-Bahl and P. A. Raymond","Land Use, Not Stream Order, Controls N2O Concentration and Flux in the Upper Mara River Basin, Kenya",Journal of Geophysical Research: Biogeosciences,2019,10.1029/2019JG005063,Rivers
175,A. M. Nahlik and W. J. Mitsch,Methane emissions from tropical freshwater wetlands located in different climatic zones of Costa Rica,GLOBAL CHANGE BIOLOGY,2011,10.1111/j.1365-2486.2010.02190.x,Wetlands
176,"S. W. A. Naqvi, P. Lam, G. Narvenkar, A. Sarkar, H. Naik, A. Pratihary, D. M. Shenoy, M. Gauns, S. Kurian, S. Damare, M. Duret, G. Lavik and M. M. M. Kuypers",Methane stimulates massive nitrogen loss from freshwater reservoirs in India,NATURE COMMUNICATIONS,2018,10.1038/s41467-018-03607-z,Lakes
177,"G. Narvenkar, S. W. A. Naqvi, S. Kurian, D. M. Shenoy, A. K. Pratihary, H. Naik, S. Patil, A. Sarkar and M. Gauns",Dissolved methane in Indian freshwater reservoirs,ENVIRONMENTAL MONITORING AND ASSESSMENT,2013,10.1007/s10661-013-3079-5,Lakes
179,M. J. Ngochera and H. A. Bootsma,Spatial and temporal dynamics of pCO2 and CO2 flux in tropical Lake Malawi,LIMNOLOGY AND OCEANOGRAPHY,2020,10.1002/lno.11408,Lakes
180,"M. Ni, Q. Ge, S. Li, Z. Wang and Y. Wu",Trophic state index linked to partial pressure of aquatic carbon dioxide in a typical karst plateau lake,ECOLOGICAL INDICATORS,2021,10.1016/j.ecolind.2020.106912,Lakes
181,"S. Nutanong, C. Chiemchaisri, W. Chiemchaisri and S. Kantawanichkul",Greenhouse gas emission from horizontal and vertical subsurface flow constructed wetlands in tropical climate,JOURNAL OF WATER AND CLIMATE CHANGE,2019,10.2166/wcc.2018.069,Lakes
182,"G. Nyamadzawo, M. Wuta, J. Nyamangara, R. M. Rees and J. L. Smith",The effects of catena positions on greenhouse gas emissions along a seasonal wetland (dambo) transect in tropical Zimbabwe,ARCHIVES OF AGRONOMY AND SOIL SCIENCE,2015,10.1080/03650340.2014.926332,Wetlands
183,"E. O. Okuku, S. Bouillon, M. Tole and A. V. Borges",Diffusive emissions of methane and nitrous oxide from a cascade of tropical hydropower reservoirs in Kenya,Lakes and Reservoirs: Research and Management,2019,10.1111/lre.12264,Lakes
184,"D. Oviedo-Vargas, D. Dierick, D. P. Genereux and S. F. Oberbauer",Chamber measurements of high CO2 emissions from a rainforest stream receiving old C-rich regional groundwater,BIOGEOCHEMISTRY,2016,10.1007/s10533-016-0243-3,Rivers
185,"D. Oviedo-Vargas, D. P. Genereux, D. Dierick and S. F. Oberbauer",The effect of regional groundwater on carbon dioxide and methane emissions from a lowland rainforest stream in Costa Rica,Journal of Geophysical Research: Biogeosciences,2015,10.1002/2015JG003009,Rivers
186,"C. N. Owino, N. Kitaka, J. Kipkemboi and R. A. Ondiek","Assessment of Greenhouse Gases Emission in Smallholder Rice Paddies Converted From Anyiko Wetland, Kenya",FRONTIERS IN ENVIRONMENTAL SCIENCE,2020,10.3389/fenvs.2020.00080,Lakes
187,"F. S. Pacheco, M. C. S. Soares, A. T. Assireu, M. P. Curtarelli, F. Roland, G. Abril, J. L. Stech, P. C. Alvala and J. P. Ometto",The effects of river inflow and retention time on the spatial heterogeneity of chlorophyll and water-air CO2 fluxes in a tropical hydropower reservoir,BIOGEOSCIENCES,2015,10.5194/bg-12-147-2015,Lakes
188,"S. R. Pangala, A. Enrich-Prast, L. S. Basso, R. B. Peixoto, D. Bastviken, E. R. C. Hornibrook, L. V. Gatti, H. Marotta, L. S. B. Calazans, C. M. Sakuragui, W. R. Bastos, O. Malm, E. Gloor, J. B. Miller and V. Gauci",Large emissions from floodplain trees close the Amazon methane budget,NATURE,2017,10.1038/nature24639,Wetlands
189,"S. R. Pangala, S. Moore, E. R. C. Hornibrook and V. Gauci",Trees are major conduits for methane egress from tropical forested wetlands,NEW PHYTOLOGIST,2013,10.1111/nph.12031,Wetlands
190,"J. R. Paranaíba, N. Barros, R. M. Almeida, A. Linkhorst, R. Mendonça, R. d. Vale, F. Roland and S. Sobek",Hotspots of Diffusive CO2 and CH4 Emission From Tropical Reservoirs Shift Through Time,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2021,10.1029/2020JG006014,Lakes
191,"J. H. Park, H. Jin, T. K. Yoon, M. S. Begum, C. Eliyan, E. J. Lee, S. C. Lee and N. H. Oh",Wastewater-boosted biodegradation amplifying seasonal variations of pCO2 in the Mekong–Tonle Sap river system,BIOGEOCHEMISTRY,2021,10.1007/s10533-021-00823-6,Rivers
193,"R. B. Peixoto, F. Machado-Silva, H. Marotta, A. Enrich-Prast and D. Bastviken",Spatial versus Day-To-Day Within-Lake Variability in Tropical Floodplain Lake CH4 Emissions - Developing Optimized Approaches to Representative Flux Measurements,PLOS ONE,2015,10.1371/journal.pone.0123319,Lakes
194,"R. B. Peixoto, H. Marotta, D. Bastviken and A. Enrich-Prast",Floating Aquatic Macrophytes Can Substantially Offset Open Water CO2 Emissions from Tropical Floodplain Lake Ecosystems,ECOSYSTEMS,2016,10.1007/s10021-016-9964-3,Lakes
195,"T. Phuong Quynh Le, C. Marchand, C. Tu Ho, N. Da Le, T. Thuy Duong, X. Lu, P. Kieu Doan, T. Kien Nguyen, T. Mai Huong Nguyen and D. An Vu",CO2 partial pressure and CO2 emission along the lower Red River (Vietnam),BIOGEOSCIENCES,2018,10.5194/bg-15-4799-2018,Rivers; Lakes
196,"A. Pickard, S. White, S. Bhattacharyya, L. Carvalho, A. Dobel, J. Drewer, P. Jamwal and C. Helfter",Greenhouse gas budgets of severely polluted urban lakes in India,SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2021.149019,Lakes
197,V. Pinto-Silva and P. Girard,Estimated fluxes of CO2 between Brazilian Pantanal shallow lakes and the atmosphere,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2001,10.1080/03680770.1998.11901477,Lakes
198,"P. Polsenaere, J. Deborde, G. Detandt, L. O. Vidal, M. A. P. Perez, V. Marieu and G. Abril",Thermal enhancement of gas transfer velocity of CO2 in an Amazon floodplain lake revealed by eddy covariance measurements,GEOPHYSICAL RESEARCH LETTERS,2013,10.1002/grl.50291,Lakes
199,"J. Pu, J. Li, T. Zhang, J. B. Martin and D. Yuan","Varying thermal structure controls the dynamics of CO2 emissions from a subtropical reservoir, south China",WATER RESEARCH,2020,10.1016/j.watres.2020.115831,Lakes
200,"J. Pu, J. Li, T. Zhang, X. Xiong and D. Yuan","High spatial and seasonal heterogeneity of pCO2 and CO2 emissions in a karst groundwater-stream continuum, southern China",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2019,10.1007/s11356-019-05820-9,Rivers
201,"T. Qi, Q. Xiao, Z. Cao, M. Shen, J. Ma, D. Liu and H. Duan",Satellite Estimation of Dissolved Carbon Dioxide Concentrations in China's Lake Taihu,Environmental Science and Technology,2020,10.1021/acs.est.0c04044,Lakes
203,"F. M. Ramos, I. B. T. Lima, R. R. Rosa, E. A. Mazzi, J. C. Carvalho, M. Rasera, J. Ometto, A. T. Assireu and J. L. Stech",Extreme event dynamics in methane ebullition fluxes from tropical reservoirs,GEOPHYSICAL RESEARCH LETTERS,2006,10.1029/2006GL027943,Lakes
204,"L. Ran, D. E. Butman, T. J. Battin, X. Yang, M. Tian, C. Duvert, J. Hartmann, N. Geeraert and S. Liu",Substantial decrease in CO2 emissions from Chinese inland waters due to global change,NATURE COMMUNICATIONS,2021,10.1038/s41467-021-21926-6,Rivers
205,"M. d. F. F. L. Rasera, A. V. Krusche, J. E. Richey, M. V. R. Ballester and R. L. Victória",Spatial and temporal variability of pCO2 and CO2 efflux in seven Amazonian Rivers,BIOGEOCHEMISTRY,2013,10.1007/s10533-013-9854-0,Rivers
