site_numeric,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
3885,1113.2363636363636,671.7282828282829,0,2.311247598499645,714.0635070800781
3887,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3888,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3889,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3890,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3891,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3893,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3896,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3907,1167.6007940987963,472.5301844708844,0,0,28.54685926437378
3908,1167.6007940987963,472.5301844708844,0,0,28.54685926437378
3909,1241.285714285715,697.294930875576,0,0,714.0635070800781
3910,1239.9385416666669,715.1114583333333,0,3.093273595877539,714.0635070800781
3912,1241.285714285715,697.294930875576,0,0,714.0635070800781
3916,774.404918032787,459.9540983606557,0,0.6539435684840642,428.9647918701172
3917,965.9499254948736,485.1852682312009,0,1.3123809083056466,145.9882667541504
3919,1343.579104477612,587.5462686567165,0,0,29.13811798095703
3926,941.5301125949204,520.3390100375317,0,0,714.0635070800781
3927,941.5301125949204,520.3390100375317,0,0,714.0635070800781
3928,1199.0329974540443,507.0367509868499,0,0,28.54685926437378
3932,1175.2722893568146,496.5099959947452,0,0.36287390291467464,44.26125793457031
3933,1190.3962264150944,685.8000000000002,0,0,714.0635070800781
3935,910.879411764706,475.220588235294,0,1.0805277910190938,145.9882667541504
3937,910.879411764706,475.220588235294,0,1.0805277910190938,145.9882667541504
3941,1236.5352112676055,505.9549295774648,0,0,28.54685926437378
3945,1221.291489361702,695.9244680851065,0,0.7610356372477193,714.0635070800781
3946,1221.291489361702,695.9244680851065,0,0.7610356372477193,714.0635070800781
3947,1221.291489361702,695.9244680851065,0,0.7610356372477193,714.0635070800781
3948,942.6236881244624,479.9155755484916,0,0.501667068125686,145.9882667541504
3951,942.6236881244624,479.9155755484916,0,0.501667068125686,145.9882667541504
3958,956.8757575757576,447.7984848484848,0,15.473612942743406,145.9882667541504
3959,956.8757575757576,447.7984848484848,0,15.473612942743406,145.9882667541504
3962,1262.649494949495,723.149494949495,0,0.6171496820500609,714.0635070800781
3963,1205.580357142857,681.7714285714286,0,0.8083659205215187,714.0635070800781
3964,1205.580357142857,681.7714285714286,0,0.8083659205215187,714.0635070800781
3965,906.7444404391744,467.87287936758895,0,1.1652975619949768,145.9882667541504
3966,906.7444404391744,467.87287936758895,0,1.1652975619949768,145.9882667541504
3967,895.8764477847999,462.0856987338626,0,0.53428119221194,145.9882667541504
3968,895.8764477847999,462.0856987338626,0,0.53428119221194,145.9882667541504
3970,1247.004,694.743,0,0.06816337298993035,714.0635070800781
3971,1247.004,694.743,0,0.06816337298993035,714.0635070800781
3976,742.57959356961,382.9585565686672,0,0.2046498966564961,145.9882667541504
3977,742.57959356961,382.9585565686672,0,0.2046498966564961,145.9882667541504
3979,1007.7986359755572,520.3104454074967,0,1.1562142909814743,217.87337188720704
3980,723.1008424982991,372.7545114950583,0,0.5909001121720479,145.9882667541504
3981,723.1008424982991,372.7545114950583,0,0.5909001121720479,145.9882667541504
3982,847.2975171615859,432.7993676719834,0,0.5997755979828022,145.9882667541504
3983,847.2975171615859,432.7993676719834,0,0.5997755979828022,145.9882667541504
3984,847.2975171615859,432.7993676719834,0,0.5997755979828022,145.9882667541504
3989,840.7421052631578,430.4517543859649,0,0.2782827646566269,145.9882667541504
3998,934.5604118294088,478.62266422777,0,1.4022729822216793,159.6269386291504
4001,1147.6992658084191,452.2422323239986,0,0,47.554542732238765
4002,938.1118423220632,479.26925136524954,0,1.4022729822216793,159.6269386291504
4007,963.884950781252,502.0909693887982,0,0,159.6269386291504
4012,991.1061589168248,471.32805867567293,0,0.2434958426240148,159.6269386291504
4016,983.310092370621,474.9453527211525,0,1.6276856911905808,159.6269386291504
4017,1102.355798102509,417.5633312798412,0,1.0444189532577397,47.554542732238765
4020,935.0759036144576,504.0698795180723,0,0,325.47413330078126
4021,881.6056603773585,436.4773584905661,0,0,159.6269386291504
4022,1193.437427038072,697.44747099661,0,0,32.36197338104248
4032,863.958402504352,443.7006630463029,0,2.5960073367391865,155.3149215698242
4036,1060.4565929973105,473.87604114001226,0,0,122.96393280029298
4037,1060.4565929973105,473.87604114001226,0,0,122.96393280029298
4039,1056.3167756180817,411.063066247622,0,0,122.96393280029298
