site_numeric,continent,COMID,lengthkm,slope_grades,upstream_area_grades,order_grades,NextDownID,distance_snapped,lat,lon,slope,q_jan,q_feb,q_mar,q_apr,q_may,q_jun,q_jul,q_aug,q_sep,q_oct,q_nov,q_dec,runoff_yr
101,Africa,18005594,16349,1.47E-04,39157032,5,37537,58.64072101,48.98861,-18.73806,1.47E-04,311.7297058,466.053894,407.4885559,238.6171265,157.3180695,109.7871323,126.7099228,100.8180008,74.80688477,55.24577713,50.9033432,110.6276474,3.274292027
102,Africa,18006105,11143.2,0.007798484,667524.5,1,23557,1153.072457,47.49414,-18.69511,0.007798484,3.123068571,3.477608681,2.537745714,1.456279874,0.853934526,0.52284348,0.425432563,0.338131517,0.314551681,0.537808955,0.859551489,1.736797452,2.219717288
103,Africa,18005592,13400.5,4.48E-04,52505852,4,37597,46.43716552,47.04456,-18.67669,4.48E-04,265.5151062,300.3188477,239.806488,137.6186218,83.05334473,55.41226196,43.9732399,35.92457581,31.77934456,47.24696732,77.24501801,153.1837158,2.219717288
104,Africa,18005596,2636.6,5.69E-04,15798340,4,37297,85.94307758,48.98042,-18.649,5.69E-04,116.7227554,178.063858,163.6825867,101.5402145,66.22777557,47.98701096,56.26670074,43.58964157,31.59840393,22.29620552,19.54669952,41.82030487,3.624794495
105,Africa,18005860,8182.7,8.55E-04,1279407,2,25597,504.9179053,48.25039,-18.64811,8.55E-04,7.123755455,10.46802902,8.27913475,4.364084721,2.922032833,2.052929163,2.201014757,1.860498786,1.459043622,1.235326529,1.250464082,2.693571329,2.717611237
106,Africa,18006150,4789.4,0.009333096,364255.5,1,37237,23.55296874,48.97061,-18.64619,0.009333096,3.437016726,5.252580166,5.109562874,3.403017282,2.221652269,1.653234482,1.974292517,1.515068173,1.080268383,0.761386752,0.647349238,1.320213437,3.624794495
107,Africa,12034206,64229.8,5.76E-05,11016774656,7,184467,62.19316611,36.24422,-18.57924,5.76E-05,4014.726807,6034.825684,9941.143555,12294.81055,12610.50586,11883.41895,9702.214844,9043.532227,8814.166016,7719.089355,6013.900879,4190.245605,1.006910805
108,Africa,12034204,4098.6,0,11024877568,7,-1,69.27503541,36.44534,-18.56729,0,4018.645264,5993.312988,9889.171875,12283.73828,12613.15625,11916.10449,9738.864258,9046.745117,8825.160156,7747.618652,6053.207031,4222.138672,1.006910805
109,Africa,12034206,64229.8,5.76E-05,11016774656,7,184467,348.6916871,36.19319,-18.5486,5.76E-05,4014.726807,6034.825684,9941.143555,12294.81055,12610.50586,11883.41895,9702.214844,9043.532227,8814.166016,7719.089355,6013.900879,4190.245605,1.006910805
110,Africa,18004993,17624.6,0.012329346,776557.1,1,35616,4031.157385,47.540889,-18.52136,0.012329346,3.538836479,3.954874516,2.97410202,1.818034053,1.278603435,0.886832833,0.70770216,0.538443506,0.480107069,0.714816689,1.084847093,2.05301857,2.219717288
111,Africa,18004962,16953.5,0.001757749,2291941.8,2,37416,8.114118333,47.25011,-18.48833,0.001757749,12.03078938,13.09124374,9.37318325,4.981587887,2.32568121,1.23970747,0.979998589,0.797480643,0.797210038,1.708920479,3.022735834,6.653259277,2.293424775
112,Africa,18005725,20148.8,3.67E-04,4061563.8,2,31417,56.83036054,48.99933,-18.46808,3.67E-04,34.5057869,51.59531403,49.9587822,32.72785568,21.85637665,16.48206711,18.99788857,14.54678059,10.4533844,7.565751076,6.578480721,13.91358662,3.274292027
113,Africa,18004914,34931.2,0.003232068,4798732,2,39876,105.1704662,46.57569,-18.44769,0.003232068,32.59976959,34.16667175,25.28693771,13.19890594,6.509070873,4.310904026,3.103396893,2.090861559,1.943203568,4.653434753,9.194548607,20.51814651,2.451227796
114,Africa,18004984,2316.7,9.06E-04,5915771.5,3,36096,25.74720339,47.88136,-18.41253,9.06E-04,25.99271774,31.27857208,24.18927002,14.10297108,10.54018021,7.814048767,6.594407558,5.517329693,4.7848773,5.783000946,7.993334293,14.44900131,2.43167783
115,Africa,12034206,64229.8,5.76E-05,11016774656,7,184467,509.6217794,36.05988,-18.36487,5.76E-05,4014.726807,6034.825684,9941.143555,12294.81055,12610.50586,11883.41895,9702.214844,9043.532227,8814.166016,7719.089355,6013.900879,4190.245605,1.006910805
116,Africa,18004951,2873.1,0.001949116,7840057.5,2,37656,30.44281367,47.50225,-18.36306,0.001949116,34.07402802,38.72603989,28.84834862,17.25054741,12.76507473,9.176012993,7.299316406,5.519093513,4.834810257,6.88061285,10.33671856,19.41669273,2.293424775
117,Africa,18005138,22013.8,0.00401112,2173602.2,3,31056,118.6127301,47.89008,-18.32397,0.00401112,6.982814312,9.039805412,6.793110847,3.188774586,1.988647342,1.352182031,1.254395962,1.131600976,1.03277576,1.258207083,1.823523402,3.552399397,2.43167783
118,Africa,18005338,5623,0.047804056,306655,1,23496,60.20740037,47.31519,-18.30181,0.047804056,1.493283629,1.593595743,1.135729671,0.623453617,0.368418843,0.259322464,0.188935429,0.137430176,0.129202947,0.232039124,0.39564085,0.83764112,2.293424775
