site_numeric,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,River_width,catchment_area_snapped,catchment_area_h90m,order_h90,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
3491,110.270876,30.94031,110.2720833,30.94125,155.6849907,NA,9,232.6784515,232.048172,6,6,6,0,416
3492,110.270833,30.940362,110.2720833,30.94125,154.9944052,NA,6.5,232.6784515,231.7649841,6,6,6,0,416
3493,121.132173,30.942012,121.1320833,30.94041667,177.7979309,NA,20,0.284988016,0.026692029,1,NA,1,8.86E-04,3
3494,121.22265,30.942128,121.2245833,30.94208333,184.6564255,NA,7,0.048858047,0.010851268,NA,NA,NA,0,2
3495,110.593056,30.9425,110.59375,30.94291667,80.88196562,NA,8,165.7442322,0.068816185,5,NA,5,0.002598,198
3500,121.861104,30.950123,121.8595833,30.95125,191.8738741,NA,15,6.931268692,0.980077803,3,2,3,0,4
3507,109.851944,30.963056,109.8520833,30.96375,78.39223682,315,16,193.2433319,193.2229614,5,5,5,0.020527,295
3513,121.463643,30.975872,121.4629167,30.97708333,151.620944,NA,6,18.98492241,0.01603931,4,NA,4,0,5
3514,121.463657,30.97621,121.46375,30.97791667,190.1924986,NA,7.5,21.26890755,0.01603931,4,NA,4,0,5
3515,78.4406,30.9778,78.43958333,30.97708333,125.6185788,NA,10,28.82523346,26.83102989,4,4,4,0.090604,2553
3518,121.042531,30.982894,121.04125,30.98291667,122.2802301,NA,15,10.68439388,8.590148926,4,1,4,0,7
